_id,recommended,rating_valuemoney,rating_overall,rating_inflightEnt,rating_cabinstaff,rating_seatcomfort,rating_foodbeverage
ObjectId(58994af99bf56223b02aba20),0,1,7,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02aba21),1,0,10,0,0,0,0
ObjectId(58994af99bf56223b02aba23),0,3,5,1,1,2,0
ObjectId(58994af99bf56223b02aba26),1,4,8,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02aba28),1,4,7,3,4,4,3
ObjectId(58994af99bf56223b02aba2a),0,2,1,1,2,2,2
ObjectId(58994af99bf56223b02aba2c),1,4,10,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02aba2e),0,3,1,3,1,3,1
ObjectId(58994af99bf56223b02aba30),1,3,7,0,4,3,3
ObjectId(58994af99bf56223b02aba32),0,NaN,4,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02aba34),1,4,10,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02aba36),0,1,1,2,1,2,2
ObjectId(58994af99bf56223b02aba37),0,3,2,1,3,2,3
ObjectId(58994af99bf56223b02aba39),1,5,9,4,4,5,4
ObjectId(58994af99bf56223b02aba3b),0,2,2,1,2,3,2
